province,year,type,Jan,Feb,Mar,Apr,May,June,Jul,Aug,Sep,Oct,Nov,Dec
Siem Reap,"2,010",cases,12,18,24,20,34,118,382,515,334,157,42,31
K.Pr.Sihaknouk,"2,010",cases,1,5,6,4,16,20,34,14,17,11,4,6
StungTreng,"2,010",cases,,,1,1,1,1,12,7,1,0,,
SvayRieng,"2,010",cases,2,,1,,1,8,18,29,17,6,6,1
Takeo,"2,010",cases,4,5,5,4,15,17,88,112,49,31,11,3
O.Meanchey,"2,010",cases,1,2,2,,1,10,22,23,30,13,1,1
Kep,"2,010",cases,,1,1,4,8,22,16,7,4,1,,
Paillin,"2,010",cases,1,0,,,3,6,7,7,13,6,3,2
B.Meanchey,"2,011",cases,2,4,6,8,45,184,281,251,149,77,34,16
Battambang,"2,011",cases,1,0,2,4,30,58,82,73,78,71,29,10
Kampong Cham,"2,011",cases,16,6,7,21,167,400,358,281,171,146,34,17
Kg.Chhnang,"2,011",cases,3,1,4,1,15,47,53,47,39,14,3,0
KampongSpeu,"2,011",cases,6,6,12,17,97,194,294,206,99,41,33,9
KampongThom,"2,011",cases,5,8,16,44,250,510,584,458,172,91,24,10
Kampot,"2,011",cases,0,0,0,4,8,12,13,21,7,12,5,3
Kandal,"2,011",cases,24,21,9,33,102,219,407,535,370,192,88,42
Koh Kong,"2,011",cases,1,0,0,0,2,2,3,4,3,0,1,2
Kratie,"2,011",cases,0,0,0,2,28,38,24,14,10,3,2,1
MondulKiri,"2,011",cases,1,0,0,0,1,0,2,,2,1,0,0
Phnom Penh,"2,011",cases,45,32,25,38,79,191,366,543,471,304,226,153
PreahVihear,"2,011",cases,0,0,0,1,3,7,16,12,12,2,2,1
PreyVeng,"2,011",cases,7,2,9,22,73,199,265,242,190,102,56,31
Pursat,"2,011",cases,0,0,0,1,1,2,1,15,14,8,4,2
RattanaKiri,"2,011",cases,0,0,0,0,4,26,32,18,5,4,0,0
Siem Reap,"2,011",cases,16,3,14,19,74,310,456,437,256,115,41,35
K.Pr.Sihaknouk,"2,011",cases,1,4,2,3,6,19,18,9,5,12,9,7
StungTreng,"2,011",cases,0,0,2,0,1,16,5,0,1,2,0,0
SvayRieng,"2,011",cases,1,1,1,0,6,24,38,45,36,22,8,8
Takeo,"2,011",cases,3,2,3,15,84,266,290,152,113,51,24,4
O.Meanchey,"2,011",cases,0,0,0,0,6,24,30,35,25,13,2,2
Kep,"2,011",cases,0,0,0,0,0,2,3,,1,0,0,0
Paillin,"2,011",cases,0,0,0,1,0,7,7,16,13,11,11,6
B.Meanchey,"2,012",cases,14,26,87,168,515,1335,1224,811,599,419,161,95
Battambang,"2,012",cases,8,11,26,84,135,251,329,307,246,185,86,35
Kampong Cham,"2,012",cases,18,43,78,225,520,1031,1056,717,261,127,80,43
Kg.Chhnang,"2,012",cases,0,4,11,17,83,446,405,173,72,24,11,11
KampongSpeu,"2,012",cases,15,26,90,138,359,586,428,351,235,175,53,50
KampongThom,"2,012",cases,19,18,34,46,169,484,452,357,172,86,41,40
Kampot,"2,012",cases,2,8,20,37,107,161,162,132,55,21,13,12
Kandal,"2,012",cases,50,59,117,216,528,1104,1247,"1,095",598,349,181,111
Koh Kong,"2,012",cases,6,5,27,20,23,22,20,13,7,5,2,3
Kratie,"2,012",cases,0,1,5,5,13,26,17,15,9,6,3,0
MondulKiri,"2,012",cases,0,0,0,0,2,3,3,2,1,0,0,1
Phnom Penh,"2,012",cases,62,71,83,132,285,555,611,537,316,258,229,200
PreahVihear,"2,012",cases,2,2,10,16,56,102,98,93,54,60,39,17
PreyVeng,"2,012",cases,14,33,52,102,349,609,600,354,258,187,116,55
Pursat,"2,012",cases,0,1,7,1,8,13,23,27,15,12,4,2
RattanaKiri,"2,012",cases,0,0,0,0,3,3,2,3,1,3,1,0
Siem Reap,"2,012",cases,31,22,56,126,381,1202,1649,"2,006","1,411",884,364,215
K.Pr.Sihaknouk,"2,012",cases,7,6,20,12,52,72,49,21,19,18,27,18
StungTreng,"2,012",cases,0,0,1,0,2,2,6,5,0,2,3,4
SvayRieng,"2,012",cases,3,7,10,14,71,143,160,72,39,14,13,10
Takeo,"2,012",cases,13,10,11,42,165,419,356,244,205,121,45,21
O.Meanchey,"2,012",cases,3,9,27,48,116,202,206,127,66,34,22,23
Kep,"2,012",cases,0,0,0,0,0,0,6,2,1,0,0,0
Paillin,"2,012",cases,0,0,1,6,17,45,16,20,16,9,2,4
B.Meanchey,"2,013",cases,44,32,50,61,67,130,178,129,63,42,49,16
Battambang,"2,013",cases,21,9,13,15,36,36,70,61,48,44,40,7
Kampong Cham,"2,013",cases,44,11,27,50,219,535,636,287,150,120,65,12
Kg.Chhnang,"2,013",cases,8,9,11,8,49,170,158,96,26,12,4,3
KampongSpeu,"2,013",cases,27,22,42,34,72,172,186,83,56,61,28,5
KampongThom,"2,013",cases,34,20,18,29,96,241,416,222,84,62,52,20
Kampot,"2,013",cases,7,3,16,20,48,100,46,35,25,7,14,2
Kandal,"2,013",cases,72,29,46,50,150,296,499,281,162,141,70,11
Koh Kong,"2,013",cases,5,6,12,21,16,57,11,3,1,1,1,0
Kratie,"2,013",cases,0,3,1,3,7,16,15,7,2,2,2,1
MondulKiri,"2,013",cases,0,0,0,1,0,0,0,0,1,0,0,0
Phnom Penh,"2,013",cases,121,30,49,36,88,137,251,210,181,221,141,34
PreahVihear,"2,013",cases,11,9,15,11,61,121,158,88,47,47,21,8
PreyVeng,"2,013",cases,46,21,56,39,167,206,199,130,88,58,52,6
Pursat,"2,013",cases,2,2,3,7,9,30,52,55,16,4,4,0
RattanaKiri,"2,013",cases,1,0,0,2,2,11,10,1,2,0,0,0
Siem Reap,"2,013",cases,127,92,130,186,354,615,1198,668,374,181,195,68
K.Pr.Sihaknouk,"2,013",cases,12,8,6,4,13,20,10,7,3,6,1,0
StungTreng,"2,013",cases,2,0,2,2,2,6,9,0,2,1,0,0
SvayRieng,"2,013",cases,3,2,1,2,4,19,55,43,25,21,6,0
Takeo,"2,013",cases,8,8,13,23,61,183,174,95,53,59,29,3
O.Meanchey,"2,013",cases,18,20,34,38,62,85,137,63,22,11,18,3
Kep,"2,013",cases,0,0,0,1,0,3,2,2,0,1,0,0
Paillin,"2,013",cases,3,4,0,2,0,6,12,14,11,9,4,0
B.Meanchey,"2,014",cases,5,0,1,4,6,5,20,57,26,19,19,8
Battambang,"2,014",cases,1,2,2,3,11,18,11,20,11,16,8,4
Kampong Cham,"2,014",cases,12,6,10,28,66,91,100,96,36,31,30,13
Kg.Chhnang,"2,014",cases,1,1,3,2,9,8,16,20,6,7,5,2
KampongSpeu,"2,014",cases,2,2,3,1,12,17,48,33,33,10,12,5
KampongThom,"2,014",cases,2,3,4,8,10,47,43,42,14,13,6,7
Kampot,"2,014",cases,1,1,2,2,23,25,13,18,16,3,5,0
Kandal,"2,014",cases,4,5,7,10,25,33,50,87,85,70,80,66
Koh Kong,"2,014",cases,0,0,1,0,0,0,4,1,0,3,0,0
Kratie,"2,014",cases,0,0,1,0,1,5,2,1,0,1,4,1
