"year_range","mid_year","corr","provname","comp_prov","full_ts_corr","dist_m","dist_km","dist_from_PP_m","dist_from_PP_km"
"2014-2018",2016,0.304181932304719,"Koh Kong","Prey Veng",0.471338550349241,210788.684575229,210.788684575229,143492.063353842,143.492063353842
"2015-2019",2017,0.691170242923796,"Koh Kong","Prey Veng",0.471338550349241,210788.684575229,210.788684575229,143492.063353842,143.492063353842
"2016-2020",2018,0.689072203998895,"Koh Kong","Prey Veng",0.471338550349241,210788.684575229,210.788684575229,143492.063353842,143.492063353842
"2002-2006",2004,0.312970390773211,"Koh Kong","Pursat",0.335772641826929,107418.179297687,107.418179297687,143492.063353842,143.492063353842
"2003-2007",2005,0.167953830602702,"Koh Kong","Pursat",0.335772641826929,107418.179297687,107.418179297687,143492.063353842,143.492063353842
"2004-2008",2006,0.146378336691568,"Koh Kong","Pursat",0.335772641826929,107418.179297687,107.418179297687,143492.063353842,143.492063353842
"2005-2009",2007,0.130218048695237,"Koh Kong","Pursat",0.335772641826929,107418.179297687,107.418179297687,143492.063353842,143.492063353842
"2006-2010",2008,0.153186428711543,"Koh Kong","Pursat",0.335772641826929,107418.179297687,107.418179297687,143492.063353842,143.492063353842
"2007-2011",2009,0.140130140594617,"Koh Kong","Pursat",0.335772641826929,107418.179297687,107.418179297687,143492.063353842,143.492063353842
"2008-2012",2010,0.105647382039428,"Koh Kong","Pursat",0.335772641826929,107418.179297687,107.418179297687,143492.063353842,143.492063353842
"2009-2013",2011,0.175318876897041,"Koh Kong","Pursat",0.335772641826929,107418.179297687,107.418179297687,143492.063353842,143.492063353842
"2010-2014",2012,0.303175765138089,"Koh Kong","Pursat",0.335772641826929,107418.179297687,107.418179297687,143492.063353842,143.492063353842
"2011-2015",2013,0.301369114637295,"Koh Kong","Pursat",0.335772641826929,107418.179297687,107.418179297687,143492.063353842,143.492063353842
"2012-2016",2014,0.320917501208763,"Koh Kong","Pursat",0.335772641826929,107418.179297687,107.418179297687,143492.063353842,143.492063353842
"2013-2017",2015,0.345683407660351,"Koh Kong","Pursat",0.335772641826929,107418.179297687,107.418179297687,143492.063353842,143.492063353842
"2014-2018",2016,0.229515084114082,"Koh Kong","Pursat",0.335772641826929,107418.179297687,107.418179297687,143492.063353842,143.492063353842
"2015-2019",2017,0.461401213438588,"Koh Kong","Pursat",0.335772641826929,107418.179297687,107.418179297687,143492.063353842,143.492063353842
"2016-2020",2018,0.438115359469441,"Koh Kong","Pursat",0.335772641826929,107418.179297687,107.418179297687,143492.063353842,143.492063353842
"2002-2006",2004,0.442008534334394,"Koh Kong","Ratanak Kiri",0.536111986864628,469089.640558108,469.089640558108,143492.063353842,143.492063353842
"2003-2007",2005,0.346376175052921,"Koh Kong","Ratanak Kiri",0.536111986864628,469089.640558108,469.089640558108,143492.063353842,143.492063353842
