"year","lambda","N_sero","llik","convergence","provname"
1990,0.431139896436835,2,19362.2780078075,1,"Kandal"
1991,0.312363502786005,2,19362.2780078075,1,"Kandal"
1992,0.229936162875356,2,19362.2780078075,1,"Kandal"
1993,0.26140466454047,2,19362.2780078075,1,"Kandal"
1994,0.217846573099469,2,19362.2780078075,1,"Kandal"
1995,0.20431999476968,2,19362.2780078075,1,"Kandal"
1996,0.175666699192322,2,19362.2780078075,1,"Kandal"
1997,0.16275557393422,2,19362.2780078075,1,"Kandal"
1998,0.132013980914413,2,19362.2780078075,1,"Kandal"
1999,0.119652185532889,2,19362.2780078075,1,"Kandal"
2000,0.0920847437711787,2,19362.2780078075,1,"Kandal"
2001,0.0296302357034797,2,19362.2780078075,1,"Kandal"
2002,0.072397223561085,2,19362.2780078075,1,"Kandal"
2003,0.139405354138069,2,19362.2780078075,1,"Kandal"
2004,0.122219125764045,2,19362.2780078075,1,"Kandal"
2005,0.0863967380082813,2,19362.2780078075,1,"Kandal"
2006,0.0800455759655572,2,19362.2780078075,1,"Kandal"
2007,0.127642028259551,2,19362.2780078075,1,"Kandal"
2008,0.0802817998342199,2,19362.2780078075,1,"Kandal"
2009,0.118575993439318,2,19362.2780078075,1,"Kandal"
2010,0.0962036026423984,2,19362.2780078075,1,"Kandal"
2011,0.0395013090426403,2,19362.2780078075,1,"Kandal"
2012,0.0719591286680524,2,19362.2780078075,1,"Kandal"
2013,0.0647564412862102,2,19362.2780078075,1,"Kandal"
2014,0.0291409748179688,2,19362.2780078075,1,"Kandal"
2015,0.0418933876025901,2,19362.2780078075,1,"Kandal"
2016,0.034501549698284,2,19362.2780078075,1,"Kandal"
2017,0.0276651857436453,2,19362.2780078075,1,"Kandal"
2018,0.0439732920846813,2,19362.2780078075,1,"Kandal"
2019,0.0688136673842084,2,19362.2780078075,1,"Kandal"
2020,0.133120807364034,2,19362.2780078075,1,"Kandal"
1988,0.0920495579479179,2,590.301924658918,1,"Kep"
1989,0.0016171283947537,2,590.301924658918,1,"Kep"
1990,0.235427895487748,2,590.301924658918,1,"Kep"
1991,0.128280834789284,2,590.301924658918,1,"Kep"
1992,8.07331207771778e-05,2,590.301924658918,1,"Kep"
1993,3.2234955163846e-05,2,590.301924658918,1,"Kep"
1994,0.107001919998213,2,590.301924658918,1,"Kep"
1995,0.134191584575044,2,590.301924658918,1,"Kep"
1996,0.0937307974643404,2,590.301924658918,1,"Kep"
1997,0.127867475851709,2,590.301924658918,1,"Kep"
1998,0.0432057684061957,2,590.301924658918,1,"Kep"
1999,0.123071763267584,2,590.301924658918,1,"Kep"
2000,0.0825370885143553,2,590.301924658918,1,"Kep"
2001,0.0460652640387169,2,590.301924658918,1,"Kep"
2002,0.114610306388737,2,590.301924658918,1,"Kep"
2003,0.0635713941094049,2,590.301924658918,1,"Kep"
2004,0.0564224839436203,2,590.301924658918,1,"Kep"
2005,0.0575320932263836,2,590.301924658918,1,"Kep"
2006,0.0522051972233952,2,590.301924658918,1,"Kep"
2007,0.0667783398021923,2,590.301924658918,1,"Kep"
2008,0.0156706297838782,2,590.301924658918,1,"Kep"
2009,0.0141380347118218,2,590.301924658918,1,"Kep"
2010,0.1126445210116,2,590.301924658918,1,"Kep"
2011,0.0517897654122205,2,590.301924658918,1,"Kep"
2012,0.0534112159665839,2,590.301924658918,1,"Kep"
2013,0.0292642354958236,2,590.301924658918,1,"Kep"
2014,0.0143983848752267,2,590.301924658918,1,"Kep"
2015,0.0440001441125134,2,590.301924658918,1,"Kep"
2016,0.0251794169714498,2,590.301924658918,1,"Kep"
2017,0.0219585748638412,2,590.301924658918,1,"Kep"
2018,0.00965629532853419,2,590.301924658918,1,"Kep"
2019,0.0271619266310709,2,590.301924658918,1,"Kep"
2020,3.33972091758662e-05,2,590.301924658918,1,"Kep"
1990,0.00108967805437712,2,1000.83178739536,1,"Koh Kong"
1991,0.227525375866643,2,1000.83178739536,1,"Koh Kong"
1992,0.0680150117105908,2,1000.83178739536,1,"Koh Kong"
1993,0.0660356975382277,2,1000.83178739536,1,"Koh Kong"
1994,0.112418653082666,2,1000.83178739536,1,"Koh Kong"
1995,0.138676128530799,2,1000.83178739536,1,"Koh Kong"
1996,0.119092178614501,2,1000.83178739536,1,"Koh Kong"
1997,0.153275910352448,2,1000.83178739536,1,"Koh Kong"
1998,0.126519123150545,2,1000.83178739536,1,"Koh Kong"
1999,0.0976375892225439,2,1000.83178739536,1,"Koh Kong"
2000,0.11120268652146,2,1000.83178739536,1,"Koh Kong"
2001,0.0458989891376486,2,1000.83178739536,1,"Koh Kong"
2002,0.109037626997695,2,1000.83178739536,1,"Koh Kong"
2003,0.100734815702581,2,1000.83178739536,1,"Koh Kong"
2004,0.0840113849471627,2,1000.83178739536,1,"Koh Kong"
2005,0.0985864421639613,2,1000.83178739536,1,"Koh Kong"
2006,0.057503471651964,2,1000.83178739536,1,"Koh Kong"
2007,0.0967136491766473,2,1000.83178739536,1,"Koh Kong"
2008,0.0841471041268691,2,1000.83178739536,1,"Koh Kong"
2009,0.109379321828021,2,1000.83178739536,1,"Koh Kong"
2010,0.114403780559794,2,1000.83178739536,1,"Koh Kong"
2011,0.0544256348206621,2,1000.83178739536,1,"Koh Kong"
2012,0.0587187760291098,2,1000.83178739536,1,"Koh Kong"
2013,0.0831047748240263,2,1000.83178739536,1,"Koh Kong"
2014,6.81901381578915e-16,2,1000.83178739536,1,"Koh Kong"
2015,0.0668737467202033,2,1000.83178739536,1,"Koh Kong"
2016,0.0339037156789724,2,1000.83178739536,1,"Koh Kong"
2017,0.0384728491500615,2,1000.83178739536,1,"Koh Kong"
2018,0.0294702019526816,2,1000.83178739536,1,"Koh Kong"
2019,0.110025361707015,2,1000.83178739536,1,"Koh Kong"
2020,0.314988750737715,2,1000.83178739536,1,"Koh Kong"
1984,0.00822878191416523,2,1929.86626971506,1,"Kratie"
1985,0.0436633555594937,2,1929.86626971506,1,"Kratie"
1986,0.0466298832035941,2,1929.86626971506,1,"Kratie"
1987,0.0332297587138264,2,1929.86626971506,1,"Kratie"
1988,0.0147389336731304,2,1929.86626971506,1,"Kratie"
1989,0.00341567454630934,2,1929.86626971506,1,"Kratie"
1990,0.0059436484104261,2,1929.86626971506,1,"Kratie"
1991,0.136880751932792,2,1929.86626971506,1,"Kratie"
1992,0.149180203611942,2,1929.86626971506,1,"Kratie"
1993,0.118277205946036,2,1929.86626971506,1,"Kratie"
1994,0.169413206009162,2,1929.86626971506,1,"Kratie"
1995,0.208159436294175,2,1929.86626971506,1,"Kratie"
1996,4.30714851200537e-05,2,1929.86626971506,1,"Kratie"
1997,6.60213525996634e-05,2,1929.86626971506,1,"Kratie"
1998,0.22443264331363,2,1929.86626971506,1,"Kratie"
1999,0.114745410917009,2,1929.86626971506,1,"Kratie"
2000,0.0731473057107244,2,1929.86626971506,1,"Kratie"
2001,0.0624666934860644,2,1929.86626971506,1,"Kratie"
2002,0.19522402144809,2,1929.86626971506,1,"Kratie"
2003,0.138755048550372,2,1929.86626971506,1,"Kratie"
2004,0.0620730541189194,2,1929.86626971506,1,"Kratie"
2005,0.0528465072344514,2,1929.86626971506,1,"Kratie"
2006,0.097562617177225,2,1929.86626971506,1,"Kratie"
2007,0.120409261600556,2,1929.86626971506,1,"Kratie"
2008,0.0850715883388996,2,1929.86626971506,1,"Kratie"
2009,0.136658867868616,2,1929.86626971506,1,"Kratie"
2010,0.0675943216858331,2,1929.86626971506,1,"Kratie"
2011,0.0662665346691229,2,1929.86626971506,1,"Kratie"
2012,0.0852064112588787,2,1929.86626971506,1,"Kratie"
2013,0.0623058573779375,2,1929.86626971506,1,"Kratie"
2014,0.0353633483387078,2,1929.86626971506,1,"Kratie"
2015,0.0601558992220855,2,1929.86626971506,1,"Kratie"
2016,0.0281346152669908,2,1929.86626971506,1,"Kratie"
2017,0.03733014602203,2,1929.86626971506,1,"Kratie"
2018,0.0515196075703891,2,1929.86626971506,1,"Kratie"
2019,0.0477755491967806,2,1929.86626971506,1,"Kratie"
2020,0.0507034184819161,2,1929.86626971506,1,"Kratie"
1989,0.0212794780463093,2,810.218864807871,1,"Mondul Kiri"
1990,0.0620504268107925,2,810.218864807871,1,"Mondul Kiri"
1991,2.04276741852451e-17,2,810.218864807871,1,"Mondul Kiri"
1992,0.0439723334898191,2,810.218864807871,1,"Mondul Kiri"
1993,0.0309742885431788,2,810.218864807871,1,"Mondul Kiri"
1994,0.0468891855211301,2,810.218864807871,1,"Mondul Kiri"
1995,1.09014397688613e-10,2,810.218864807871,1,"Mondul Kiri"
1996,0.0648614870939357,2,810.218864807871,1,"Mondul Kiri"
1997,1.98844118648615e-06,2,810.218864807871,1,"Mondul Kiri"
1998,0.0506913279453274,2,810.218864807871,1,"Mondul Kiri"
1999,0.0329164934303852,2,810.218864807871,1,"Mondul Kiri"
2000,0.060723345755626,2,810.218864807871,1,"Mondul Kiri"
2001,1.35215864509415e-06,2,810.218864807871,1,"Mondul Kiri"
2002,0.047277986794198,2,810.218864807871,1,"Mondul Kiri"
2003,0.0258964284685847,2,810.218864807871,1,"Mondul Kiri"
2004,0.0334326145609595,2,810.218864807871,1,"Mondul Kiri"
2005,0.028944680524338,2,810.218864807871,1,"Mondul Kiri"
2006,0.0264633597666334,2,810.218864807871,1,"Mondul Kiri"
2007,0.0385631734376993,2,810.218864807871,1,"Mondul Kiri"
2008,0.031507216072799,2,810.218864807871,1,"Mondul Kiri"
2009,0.0125183434503532,2,810.218864807871,1,"Mondul Kiri"
2010,0.0271281331308982,2,810.218864807871,1,"Mondul Kiri"
2011,0.028370401165971,2,810.218864807871,1,"Mondul Kiri"
2012,0.0211473029905713,2,810.218864807871,1,"Mondul Kiri"
2013,0.00780017726535211,2,810.218864807871,1,"Mondul Kiri"
2014,0.0233529954632338,2,810.218864807871,1,"Mondul Kiri"
2015,0.0229058602500291,2,810.218864807871,1,"Mondul Kiri"
2016,0.030594243734525,2,810.218864807871,1,"Mondul Kiri"
2017,0.00630698455496966,2,810.218864807871,1,"Mondul Kiri"
2018,0.00931824754600507,2,810.218864807871,1,"Mondul Kiri"
2019,0.0315097446117169,2,810.218864807871,1,"Mondul Kiri"
2020,0.344441874834826,2,810.218864807871,1,"Mondul Kiri"
1991,2.05815734874554e-06,2,2764.32281469169,1,"Otdar Meanchey"
1992,9.24827025693465e-07,2,2764.32281469169,1,"Otdar Meanchey"
1993,0.209519897751626,2,2764.32281469169,1,"Otdar Meanchey"
1994,0.161651193932486,2,2764.32281469169,1,"Otdar Meanchey"
1995,0.0642543726337992,2,2764.32281469169,1,"Otdar Meanchey"
1996,0.197875782280469,2,2764.32281469169,1,"Otdar Meanchey"
1997,3.39470244150217e-07,2,2764.32281469169,1,"Otdar Meanchey"
1998,0.158397343838451,2,2764.32281469169,1,"Otdar Meanchey"
1999,0.113288882449753,2,2764.32281469169,1,"Otdar Meanchey"
2000,0.101287294095739,2,2764.32281469169,1,"Otdar Meanchey"
2001,0.0918222732554338,2,2764.32281469169,1,"Otdar Meanchey"
2002,0.0287373969397298,2,2764.32281469169,1,"Otdar Meanchey"
2003,0.136355607032882,2,2764.32281469169,1,"Otdar Meanchey"
2004,0.122157808899391,2,2764.32281469169,1,"Otdar Meanchey"
2005,0.120621302137276,2,2764.32281469169,1,"Otdar Meanchey"
2006,0.0740234713784428,2,2764.32281469169,1,"Otdar Meanchey"
2007,0.110451299699521,2,2764.32281469169,1,"Otdar Meanchey"
2008,0.157182255107148,2,2764.32281469169,1,"Otdar Meanchey"
