"year","lambda","N_sero","llik","convergence","lci","uci","provname"
2019,0.184790328864188,2,2517.37657106445,0,0.167317272819355,0.20226338490902,"Kampot"
2020,0.506550712468528,2,2517.37657106445,0,0.463082273835861,0.550019151101195,"Kampot"
1987,0.107176326491152,2,11439.1276283716,0,0,0.45109486145792,"Kandal"
1988,0.0903660845501927,2,11439.1276283716,0,0,0.410750110966129,"Kandal"
1989,0.196074448778103,2,11439.1276283716,0,0,0.485687928604793,"Kandal"
1990,0.658518610806316,2,11439.1276283716,0,0.42856102152073,0.888476200091903,"Kandal"
1991,0.620829816734058,2,11439.1276283716,0,0.457776476609847,0.783883156858268,"Kandal"
1992,0.471278354728985,2,11439.1276283716,0,0.348813031578472,0.593743677879499,"Kandal"
1993,0.523942883462619,2,11439.1276283716,0,0.428737980095964,0.619147786829274,"Kandal"
1994,0.457447513384674,2,11439.1276283716,0,0.383700920319015,0.531194106450334,"Kandal"
1995,0.414739799549354,2,11439.1276283716,0,0.356208509891214,0.473271089207494,"Kandal"
1996,0.362903449926843,2,11439.1276283716,0,0.315013334495826,0.410793565357859,"Kandal"
1997,0.337687424943789,2,11439.1276283716,0,0.297707969526249,0.377666880361328,"Kandal"
1998,0.279109104149,2,11439.1276283716,0,0.245088654007179,0.313129554290821,"Kandal"
1999,0.262857432917574,2,11439.1276283716,0,0.233511994832502,0.292202871002645,"Kandal"
2000,0.232195357272267,2,11439.1276283716,0,0.206959480871138,0.257431233673395,"Kandal"
2001,0.246135148956804,2,11439.1276283716,0,0.225430999334361,0.266839298579247,"Kandal"
2002,0.135765290084896,2,11439.1276283716,0,0.121843005439568,0.149687574730224,"Kandal"
2003,0.288103565382637,2,11439.1276283716,0,0.273344477094758,0.302862653670516,"Kandal"
2004,0.293737869577013,2,11439.1276283716,0,0.279163546513625,0.308312192640401,"Kandal"
2005,0.279709107782124,2,11439.1276283716,0,0.26620462656277,0.293213589001477,"Kandal"
2006,0.274444733039009,2,11439.1276283716,0,0.263624943372399,0.285264522705619,"Kandal"
2007,0.258813254016898,2,11439.1276283716,0,0.249425954063117,0.268200553970678,"Kandal"
2008,0.229081804560123,2,11439.1276283716,0,0.216602459796058,0.241561149324188,"Kandal"
2009,0.206178820664,2,11439.1276283716,0,0.194135386493317,0.218222254834683,"Kandal"
2010,0.316569842721311,2,11439.1276283716,0,0.304773633599708,0.328366051842913,"Kandal"
2011,0.169424193643916,2,11439.1276283716,0,0.158964483016274,0.179883904271558,"Kandal"
2012,0.208054903623467,2,11439.1276283716,0,0.199214339699671,0.216895467547263,"Kandal"
2013,0.155592125393374,2,11439.1276283716,0,0.14544876033483,0.165735490451918,"Kandal"
2014,0.100262009861868,2,11439.1276283716,0,0.0880136015800182,0.112510418143718,"Kandal"
2015,0.143364186493596,2,11439.1276283716,0,0.131956302564418,0.154772070422774,"Kandal"
2016,0.130181968837373,2,11439.1276283716,0,0.119208250637063,0.141155687037682,"Kandal"
2017,0.091914264674443,2,11439.1276283716,0,0.0809166025057054,0.102911926843181,"Kandal"
2018,0.186271221456778,2,11439.1276283716,0,0.176433727295399,0.196108715618156,"Kandal"
2019,0.214037951185829,2,11439.1276283716,0,0.206020755477786,0.222055146893873,"Kandal"
2020,0.26010809559305,2,11439.1276283716,0,0.245753759425904,0.274462431760195,"Kandal"
1988,0.190923858834319,2,601.714462508901,0,0,1.05641642783232,"Kep"
1989,1e-07,2,601.714462508901,0,0,0.817173755594567,"Kep"
1990,0.481538488233417,2,601.714462508901,0,0,1.20819242042592,"Kep"
1991,0.256321705267322,2,601.714462508901,0,0,0.844631054043301,"Kep"
1992,1e-07,2,601.714462508901,0,0,0.520076471338572,"Kep"
1993,1e-07,2,601.714462508901,0,0,0.463369998197516,"Kep"
1994,0.217897490103595,2,601.714462508901,0,0,0.624261960116492,"Kep"
1995,0.272338000548888,2,601.714462508901,0,0,0.627097398732623,"Kep"
1996,0.196748695803572,2,601.714462508901,0,0,0.50531281251645,"Kep"
1997,0.276803373289317,2,601.714462508901,0,0.00644136213586566,0.547165384442769,"Kep"
1998,0.0906398770537909,2,601.714462508901,0,0,0.330557741548211,"Kep"
1999,0.282313706304971,2,601.714462508901,0,0.0678720663184095,0.496755346291533,"Kep"
2000,0.20625659960016,2,601.714462508901,0,0.0208839030648392,0.391629296135481,"Kep"
2001,0.136583505989816,2,601.714462508901,0,0,0.300345813449901,"Kep"
2002,0.372000986613823,2,601.714462508901,0,0.257604196607669,0.486397776619976,"Kep"
