"Accession","Serotype","Collection_Date","Year","Country"
"MW793683",1,2017-07-15,2017,"Myanmar"
"MW793708",1,2017-07-15,2017,"Myanmar"
"MW793682",1,2018-09-15,2018,"Myanmar"
"MW793695",1,2018-08-15,2018,"Myanmar"
"MW793701",1,2018-07-15,2018,"Myanmar"
"MW793692",1,2019-10-15,2019,"Myanmar"
"MW793705",1,2019-05-15,2019,"Myanmar"
"MW793706",1,2019-04-15,2019,"Myanmar"
"GQ868602",1,2004-07-31,2004,"Philippines"
"MT832037",1,2012-07-31,2012,"Philippines"
"MT832039",1,2012-07-31,2012,"Philippines"
"MT832052",1,2012-07-31,2012,"Philippines"
"MT832044",1,2013-07-31,2013,"Philippines"
"MT832045",1,2013-07-31,2013,"Philippines"
"MT832048",1,2013-07-31,2013,"Philippines"
"MT832033",1,2015-07-31,2015,"Philippines"
"MT832034",1,2015-07-31,2015,"Philippines"
"LC128301",1,2016-01-15,2016,"Philippines"
"OM281589",1,2019-12-15,2019,"Philippines"
"OM281597",1,2019-12-15,2019,"Philippines"
"ON908216",1,2019-08-26,2019,"Philippines"
"OM281599",1,2020-12-15,2020,"Philippines"
"FJ469907",1,2003-07-31,2003,"Singapore"
"FJ469908",1,2003-07-31,2003,"Singapore"
"FJ469909",1,2003-07-31,2003,"Singapore"
"EU081234",1,2005-07-31,2005,"Singapore"
"EU081246",1,2005-07-31,2005,"Singapore"
"EU081274",1,2005-07-31,2005,"Singapore"
"EU081280",1,2006-07-31,2006,"Singapore"
"EU081281",1,2006-07-31,2006,"Singapore"
"GQ398255",1,2008-07-31,2008,"Singapore"
"GU370048",1,2008-02-15,2008,"Singapore"
"GU370049",1,2008-09-15,2008,"Singapore"
"JF960211",1,2009-07-31,2009,"Singapore"
"OP410985",1,2010-03-15,2010,"Singapore"
"MF033196",1,2011-10-15,2011,"Singapore"
"KR779783",1,2011-07-31,2011,"Singapore"
"JN544407",1,2011-04-15,2011,"Singapore"
"KX380796",1,2012-07-31,2012,"Singapore"
"KX380798",1,2012-07-31,2012,"Singapore"
"KM403575",1,2012-07-31,2012,"Singapore"
"KM403581",1,2013-07-31,2013,"Singapore"
"KM403592",1,2013-07-31,2013,"Singapore"
"KM403634",1,2013-07-31,2013,"Singapore"
"MF033217",1,2014-05-15,2014,"Singapore"
"MF033221",1,2014-07-15,2014,"Singapore"
"KJ806961",1,2014-07-31,2014,"Singapore"
"MF033232",1,2015-03-15,2015,"Singapore"
"MF033234",1,2015-02-15,2015,"Singapore"
"MF033240",1,2015-11-15,2015,"Singapore"
"OP410986",1,2016-02-15,2016,"Singapore"
"MF033253",1,2016-05-15,2016,"Singapore"
"MF033255",1,2016-08-15,2016,"Singapore"
"OP410988",1,2019-05-15,2019,"Singapore"
"MW945895",1,2000-07-31,2000,"Thailand"
"MW945992",1,2000-07-31,2000,"Thailand"
"MW946207",1,2000-07-31,2000,"Thailand"
"MW946000",1,2001-07-31,2001,"Thailand"
"FJ687433",1,2001-07-31,2001,"Thailand"
"AY732482",1,2001-07-31,2001,"Thailand"
"MW945780",1,2002-07-31,2002,"Thailand"
"MW946009",1,2002-07-31,2002,"Thailand"
"MW946034",1,2002-07-31,2002,"Thailand"
"ON038478",1,2003-05-24,2003,"Thailand"
"MW945792",1,2003-07-31,2003,"Thailand"
"MW946211",1,2003-07-31,2003,"Thailand"
"ON046271",1,2004-11-20,2004,"Thailand"
"MW946025",1,2004-07-31,2004,"Thailand"
"MW946081",1,2004-07-31,2004,"Thailand"
"ON038482",1,2005-01-30,2005,"Thailand"
"MW946039",1,2005-07-31,2005,"Thailand"
"MW362472",1,2005-11-15,2005,"Thailand"
"MW945789",1,2006-07-31,2006,"Thailand"
"MW945929",1,2006-07-31,2006,"Thailand"
"MW946174",1,2006-07-31,2006,"Thailand"
"MW945887",1,2007-07-31,2007,"Thailand"
"HM469966",1,2007-07-27,2007,"Thailand"
"HM469968",1,2007-07-24,2007,"Thailand"
"KU509257",1,2008-07-31,2008,"Thailand"
"KU509259",1,2008-07-31,2008,"Thailand"
"KU509262",1,2008-07-31,2008,"Thailand"
"ON046272",1,2009-12-10,2009,"Thailand"
"ON038483",1,2009-05-13,2009,"Thailand"
"ON038484",1,2009-12-14,2009,"Thailand"
"MW945816",1,2010-07-31,2010,"Thailand"
"MW946075",1,2010-07-31,2010,"Thailand"
"MN448637",1,2010-09-14,2010,"Thailand"
"MW946172",1,2011-07-31,2011,"Thailand"
"MN448650",1,2011-06-14,2011,"Thailand"
"MN448677",1,2011-11-09,2011,"Thailand"
"MN448693",1,2012-10-02,2012,"Thailand"
"MN448695",1,2012-11-05,2012,"Thailand"
"KU509263",1,2012-07-31,2012,"Thailand"
"MW946240",1,2013-07-31,2013,"Thailand"
"MW946242",1,2013-07-31,2013,"Thailand"
"MG877556",1,2013-07-31,2013,"Thailand"
"MW945943",1,2014-07-31,2014,"Thailand"
"MW945945",1,2014-07-31,2014,"Thailand"
"MW946129",1,2014-07-31,2014,"Thailand"
"LC652827",1,2015-11-15,2015,"Thailand"
"LC652828",1,2015-11-15,2015,"Thailand"
"MT397277",1,2015-11-15,2015,"Thailand"
"OP895914",1,2017-02-15,2017,"Thailand"
"LC410183",1,2017-04-15,2017,"Thailand"
"OM281572",1,2018-12-15,2018,"Thailand"
"OM281585",1,2019-12-15,2019,"Thailand"
"OM281593",1,2019-12-15,2019,"Thailand"
"OP895915",1,2019-03-15,2019,"Thailand"
"GQ199831",1,2003-07-31,2003,"Vietnam"
"EU482791",1,2003-07-31,2003,"Vietnam"
"EU482792",1,2003-07-31,2003,"Vietnam"
"GQ199833",1,2004-07-31,2004,"Vietnam"
"FJ882569",1,2004-07-31,2004,"Vietnam"
